date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:14:27	238086/238086	---MCZ	200	added ('OK')	text/html	etag:%221592-1716920000;gz%22	https://l2t.solutions/ 	C:/Users/ADMIN/Documents/designweb/l2t.solutions/index.html	(from )
21:14:27	87/87	---M--	200	added ('OK')	text/plain	etag:%2257-65d8cdda-908b8ed10867eaa;;;%22	https://l2t.solutions/ robots.txt		(from )
21:14:28	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-664cd882-4b932b73b5184dfc;gz%22	https://l2t.solutions/ wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.5	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/plugins/contact-form-7/includes/css/stylesd9cd.css	(from https://l2t.solutions/ )
21:14:28	312839/312839	---M--	200	added ('OK')	image/png	date:Wed,%2029%20May%202024%2014:14:33%20GMT	https://l2t.solutions/ wp-content/uploads/2024/01/banner-e1704521436617.png	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/uploads/2024/01/banner-e1704521436617.png	(from https://l2t.solutions/ )
21:14:28	2843/2843	---M-Z	200	added ('OK')	text/css	etag:%22b1b-664e2b1f-abe8a5e0bf1b5dc2;gz%22	https://l2t.solutions/ wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcher.css?ver=2.7.8	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcherb246.css	(from https://l2t.solutions/ )
21:14:28	5756/5756	---M-Z	200	added ('OK')	text/css	etag:%22167c-665615be-feb683bc8ba87e51;gz%22	https://l2t.solutions/ wp-content/themes/hello-elementor/style.min.css?ver=3.0.2	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/themes/hello-elementor/style.min5b75.css	(from https://l2t.solutions/ )
21:14:28	5108/5108	---M-Z	200	added ('OK')	text/css	etag:%2213f4-665615be-90343e3bd6b2b2be;gz%22	https://l2t.solutions/ wp-content/themes/hello-elementor/theme.min.css?ver=3.0.2	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/themes/hello-elementor/theme.min5b75.css	(from https://l2t.solutions/ )
21:14:29	7325/7325	---M-Z	200	added ('OK')	text/css	etag:%221c9d-665615be-d55c9f7c78d40223;gz%22	https://l2t.solutions/ wp-content/themes/hello-elementor/header-footer.min.css?ver=3.0.2	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/themes/hello-elementor/header-footer.min5b75.css	(from https://l2t.solutions/ )
21:14:29	118945/118945	---M-Z	200	added ('OK')	text/css	etag:%221d0a1-665371c6-98cdcdd273aa46df;gz%22	https://l2t.solutions/ wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.8	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/plugins/elementor/assets/css/frontend-lite.min3cad.css	(from https://l2t.solutions/ )
21:14:29	989/989	---M-Z	200	added ('OK')	application/rss+xml	etag:%2220b05eaa050922784cb63a2fdf8d962d%22	https://l2t.solutions/ feed/	C:/Users/ADMIN/Documents/designweb/l2t.solutions/feed/index.html	(from https://l2t.solutions/ )
21:14:29	13925/13925	---M-Z	200	added ('OK')	text/css	etag:%223665-664d0e18-82545090150928ab;gz%22	https://l2t.solutions/ wp-content/uploads/elementor/css/post-4900.css?ver=1716325912	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/uploads/elementor/css/post-4900b5e9.css	(from https://l2t.solutions/ )
21:14:29	3829/3829	---M-Z	200	added ('OK')	text/css	etag:%22ef5-664e2b0b-2a6db8d5fb5dc149;gz%22	https://l2t.solutions/ wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.9.22	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min0db1.css	(from https://l2t.solutions/ )
21:14:30	3870/3870	---M-Z	200	added ('OK')	text/css	etag:%22f1e-664e2f2e-1268b30a13817f70;gz%22	https://l2t.solutions/ wp-content/uploads/essential-addons-elementor/eael-4796.css?ver=1709859755	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/uploads/essential-addons-elementor/eael-47966fc3.css	(from https://l2t.solutions/ )
21:14:30	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-665371c6-aecd268651e1b45f;gz%22	https://l2t.solutions/ wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://l2t.solutions/ )
21:14:30	672/672	---M-Z	200	added ('OK')	application/rss+xml	etag:%2220b05eaa050922784cb63a2fdf8d962d%22	https://l2t.solutions/ comments/feed/	C:/Users/ADMIN/Documents/designweb/l2t.solutions/comments/feed/index.html	(from https://l2t.solutions/ )
21:14:30	11053/11053	---M-Z	200	added ('OK')	text/css	etag:%222b2d-664cd885-bac36835f2257e42;gz%22	https://l2t.solutions/ wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.21.3	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min11d9.css	(from https://l2t.solutions/ )
21:14:30	53978/53978	---M-Z	200	added ('OK')	text/css	etag:%22d2da-664d316f-b7856b4fcd1e8129;gz%22	https://l2t.solutions/ wp-content/uploads/elementor/css/post-4796.css?ver=1716334959	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/uploads/elementor/css/post-47963caf.css	(from https://l2t.solutions/ )
21:14:31	2944/2944	---M-Z	200	added ('OK')	text/css	etag:%22b80-664d0e18-ff07de3ecffe8046;gz%22	https://l2t.solutions/ wp-content/uploads/elementor/css/post-5081.css?ver=1716325912	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/uploads/elementor/css/post-5081b5e9.css	(from https://l2t.solutions/ )
21:14:31	26575/26575	---M-Z	200	added ('OK')	text/css	etag:%2267cf-664d0e18-61622fa8b99fa771;gz%22	https://l2t.solutions/ wp-content/uploads/elementor/css/post-6937.css?ver=1716325912	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-content/uploads/elementor/css/post-6937b5e9.css	(from https://l2t.solutions/ )
21:14:31	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-65709f85-922e9a7b8529c4f4;gz%22	https://l2t.solutions/ wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/ADMIN/Documents/designweb/l2t.solutions/wp-includes/js/jquery/jquery.minf43b.js	(from https://l2t.solutions/ )
